x,y,psi,s,velocity,acceleration,curvature
4.84851,0.177227,-0.0606661,2.14798,13.62,-5.6136,0.0514488
4.85841,0.176623,-0.0611772,2.1579,13.6159,-5.59843,0.0516032
4.86831,0.176014,-0.0616898,2.16782,13.6118,-5.58312,0.0517576
4.87821,0.1754,-0.0622039,2.17774,13.6077,-5.56767,0.051912
4.88811,0.174781,-0.0627196,2.18766,13.6037,-5.55209,0.0520664
4.898,0.174157,-0.0632368,2.19758,13.5996,-5.53638,0.0522209
4.9079,0.173527,-0.0637555,2.2075,13.5956,-5.52053,0.0523754
4.9178,0.172893,-0.0642758,2.21741,13.5916,-5.50454,0.05253
4.9277,0.172253,-0.0647976,2.22733,13.5876,-5.4884,0.0526845
4.9376,0.171608,-0.0653209,2.23725,13.5835,-5.47213,0.0528391
4.9475,0.170958,-0.0658458,2.24717,13.5795,-5.45572,0.0529937
4.95739,0.170303,-0.0663722,2.25709,13.5756,-5.43917,0.0531484
4.96729,0.169643,-0.0669001,2.26701,13.5716,-5.42248,0.0533031
4.97719,0.168977,-0.0674296,2.27693,13.5676,-5.40565,0.0534577
4.98708,0.168306,-0.0679606,2.28685,13.5637,-5.38867,0.0536125
4.99698,0.16763,-0.0684931,2.29676,13.5597,-5.37154,0.0537672
5.00687,0.166948,-0.0690272,2.30668,13.5558,-5.35426,0.053922
5.01677,0.166261,-0.0695628,2.3166,13.5519,-5.33683,0.0540768
5.02666,0.165569,-0.0701,2.32652,13.548,-5.31925,0.0542316
5.03656,0.164872,-0.0706386,2.33644,13.5441,-5.30151,0.0543864
5.04645,0.164169,-0.0711788,2.34636,13.5402,-5.28361,0.0545413
5.05634,0.163461,-0.0717206,2.35628,13.5363,-5.26554,0.0546961
5.06624,0.162748,-0.0722639,2.3662,13.5325,-5.24731,0.054851
5.07613,0.162029,-0.0728087,2.37611,13.5286,-5.22891,0.055006
5.08602,0.161305,-0.073355,2.38603,13.5248,-5.21034,0.0551609
5.09591,0.160575,-0.0739029,2.39595,13.521,-5.1916,0.0553159
5.1058,0.15984,-0.0744523,2.40587,13.5172,-5.17268,0.0554709
5.1157,0.159099,-0.0750033,2.41579,13.5134,-5.15357,0.0556259
5.12559,0.158354,-0.0755558,2.42571,13.5096,-5.13428,0.0557809
5.13548,0.157602,-0.0761098,2.43563,13.5058,-5.11479,0.0559359
5.14537,0.156845,-0.0766654,2.44554,13.5021,-5.0951,0.056091
5.15526,0.156083,-0.0772225,2.45546,13.4983,-5.07521,0.0562461
5.16514,0.155315,-0.0777812,2.46538,13.4946,-5.05509,0.0564012
5.17503,0.154541,-0.0783414,2.4753,13.4909,-5.03474,0.0565563
5.18492,0.153762,-0.0789031,2.48522,13.4872,-5.01417,0.0567114
5.19481,0.152978,-0.0794663,2.49514,13.4835,-4.99336,0.0568666
5.20469,0.152188,-0.0800311,2.50506,13.4798,-4.97231,0.0570217
5.21458,0.151392,-0.0805975,2.51497,13.4762,-4.95101,0.0571769
5.22447,0.150591,-0.0811654,2.52489,13.4725,-4.92945,0.0573321
5.23435,0.149784,-0.0817348,2.53481,13.4689,-4.90764,0.0574873
5.24424,0.148971,-0.0823057,2.54473,13.4653,-4.88555,0.0576425
5.25412,0.148153,-0.0828782,2.55465,13.4617,-4.8632,0.0577978
5.26401,0.147329,-0.0834523,2.56457,13.4581,-4.84058,0.057953
5.27389,0.146499,-0.0840278,2.57448,13.4545,-4.81769,0.0581083
5.28377,0.145664,-0.0846049,2.5844,13.451,-4.79453,0.0582635
5.29366,0.144823,-0.0851836,2.59432,13.4474,-4.77109,0.0584188
5.30354,0.143976,-0.0857638,2.60424,13.4439,-4.74737,0.0585741
5.31342,0.143124,-0.0863455,2.61416,13.4404,-4.72338,0.0587294
5.3233,0.142266,-0.0869288,2.62408,13.4369,-4.69912,0.0588847
5.33318,0.141402,-0.0875136,2.63399,13.4335,-4.67459,0.0590401
5.34306,0.140532,-0.0880999,2.64391,13.43,-4.6498,0.0591954
5.35294,0.139656,-0.0886878,2.65383,13.4266,-4.62475,0.0593507
5.36282,0.138775,-0.0892772,2.66375,13.4232,-4.59945,0.0595061
5.3727,0.137888,-0.0898682,2.67367,13.4198,-4.57389,0.0596614
5.38258,0.136994,-0.0904607,2.68359,13.4164,-4.54808,0.0598168
5.39245,0.136096,-0.0910548,2.6935,13.413,-4.52204,0.0599722
5.40233,0.135191,-0.0916504,2.70342,13.4097,-4.49576,0.0601275
5.41221,0.13428,-0.0922475,2.71334,13.4063,-4.46925,0.0602829
5.42208,0.133363,-0.0928462,2.72326,13.403,-4.44251,0.0604383
5.43196,0.132441,-0.0934464,2.73318,13.3997,-4.41556,0.0605937
5.44183,0.131513,-0.0940481,2.7431,13.3965,-4.3884,0.0607491
5.45171,0.130578,-0.0946514,2.75301,13.3932,-4.36103,0.0609045
5.46158,0.129638,-0.0952563,2.76293,13.39,-4.33347,0.0610599
5.47145,0.128691,-0.0958627,2.77285,13.3868,-4.30572,0.0612153
5.48133,0.127739,-0.0964706,2.78277,13.3836,-4.27779,0.0613707
5.4912,0.126781,-0.09708,2.79269,13.3804,-4.24969,0.0615261
5.50107,0.125816,-0.097691,2.80261,13.3773,-4.22142,0.0616814
5.51094,0.124846,-0.0983036,2.81252,13.3742,-4.193,0.0618368
5.52081,0.12387,-0.0989177,2.82244,13.371,-4.16443,0.0619922
5.53068,0.122887,-0.0995333,2.83236,13.368,-4.13573,0.0621476
5.54055,0.121898,-0.10015,2.84228,13.3649,-4.10689,0.062303
5.55042,0.120904,-0.100769,2.8522,13.3618,-4.07794,0.0624584
5.56028,0.119903,-0.101389,2.86211,13.3588,-4.04887,0.0626138
5.57015,0.118896,-0.102011,2.87203,13.3558,-4.0197,0.0627691
5.58002,0.117883,-0.102635,2.88195,13.3528,-3.99044,0.0629245
5.58988,0.116863,-0.103259,2.89187,13.3499,-3.9611,0.0630798
5.59975,0.115838,-0.103886,2.90179,13.3469,-3.93168,0.0632352
5.60961,0.114806,-0.104514,2.91171,13.344,-3.90219,0.0633905
5.61948,0.113769,-0.105143,2.92163,13.3411,-3.87264,0.0635459
5.62934,0.112725,-0.105774,2.93154,13.3382,-3.84304,0.0637012
5.6392,0.111674,-0.106407,2.94146,13.3354,-3.81339,0.0638565
5.64907,0.110618,-0.107041,2.95138,13.3325,-3.7837,0.0640118
5.65893,0.109555,-0.107677,2.9613,13.3297,-3.75397,0.0641671
5.66879,0.108486,-0.108314,2.97122,13.3269,-3.7242,0.0643223
5.67865,0.107411,-0.108953,2.98114,13.3241,-3.6944,0.0644776
5.68851,0.106329,-0.109593,2.99105,13.3214,-3.66458,0.0646328
5.69837,0.105241,-0.110235,3.00097,13.3187,-3.63474,0.0647881
5.70822,0.104147,-0.110878,3.01089,13.316,-3.60488,0.0649433
5.71808,0.103046,-0.111523,3.02081,13.3133,-3.56348,0.0650985
5.72797,0.101935,-0.112172,3.03076,13.3106,-3.5337,0.0652243
5.73786,0.100818,-0.112821,3.04071,13.308,-3.50392,0.0653503
